id,Subject,Type,Status,Assignee,Priority,Description
79,[BE] Admin-Guarded User Creation Endpoint,Task,New,"",Normal,"Implement the agreed association-scoped creation route. Verify active admin membership, derive role as resident, and insert user plus membership atomically. Return 201, safe DTO and Location. Reject resident callers with 403 and inaccessible associations with 404. Never allow role or credential changes to an existing global user through creation.

Dependency: #73, #75, #83; validation #80"
80,[BE] Validation & Duplicate Conflict Handling,Task,New,"",Normal,"Apply canonical email, Unicode/name/password and confirmation rules. Return exact 400 field errors and generic 409 EMAIL\_UNAVAILABLE for duplicates across any association. Test concurrent duplicate requests and rollback when membership insert fails. No partial account creation.

Dependency: #79; can develop validators first"
81,[FE] Add User / Resident Form Component,Task,New,"",Normal,"Implement fields &#x60;displayName&#x60;, &#x60;email&#x60;, &#x60;temporaryPassword&#x60;, &#x60;confirmPassword&#x60; with no role dropdown, accessible focus/errors and one in-flight submission. Clear credentials after success/cancel. No building picker or user-list dependency in Sprint 1.

Dependency: Can start with DTO mocks"
82,[FE] Connect User Creation Form to API & Status Banners,Task,New,"",Normal,"Submit through shared client and map 201/400/401/403/404/409/network outcomes to the specified form/banner states. Announce Resident created; never display or persist the submitted password in a toast. Verify creating an account and then authenticating as that account.

Dependency: #79–#81, #77; first-login tasks below"
83,[BE] Role policies and identity endpoint,Task,New,"",Normal,"Implement reusable active-membership/admin policies and read-only identity response. Return only caller profile and active memberships; enforce scope/role on the server, including direct requests. Test resident→admin denial, A→B denial and dual-membership role differences. Profile editing belongs to Sprint 2.

Dependency: #73, #75"
84,[FE] Protected Routes & Role-Based Navigation Guards,Task,New,"",Normal,"Load server identity, show only permitted navigation and prevent protected content flashes while identity loads. Handle 401/403/association 404 consistently and discard stale responses when switching association. Direct URLs must still be denied by API policies.

Dependency: #77, #83"
85,[FE] Sign-Out Flow & Session Teardown,Task,New,"",Normal,"Connect sign-out to a server endpoint that invalidates the current authentication state, then clear frontend identity/data. In the cookie baseline validate CSRF and expire cookie. A captured pre-logout credential must fail on the next protected request; other sessions remain unaffected. Repeat logout returns the documented 401. Include the backend endpoint in this task or an explicitly linked backend subtask.

Dependency: #75, #77"
86,[QA] Auth and RBAC integration suite,Task,New,"",Normal,"Test admin login, created-user login, failed credentials, expired/revoked authentication, unauthorized creation, unknown DTO fields and cross-association access. Assert exact status/error shape and absence of secrets. Include concurrent duplicate-account and lockout cases from #80/#75. Run against PostgreSQL 18.

Dependency: Test design starts immediately; execution follows API integration"
87,[BE] First-login password change,Task,New,"",Normal,"Implement POST password for the restricted session, validate current/new/confirmation, replace the hash and invalidate all sessions atomically. Restricted session cannot call business routes. Fresh login succeeds only with the changed password."
88,[FE] First-login password-change screen,Task,New,"",Normal,"Route &#x60;next=change\_password&#x60; to a focused, validated form; submit with CSRF, clear secrets on success and return to login. Include keyboard, pending and exact-error checks."
89,[DOCS] Rewrite database documentation to match the EF Core schema,Task,In progress,Gabriel Balan,Normal,"Replace the obsolete database specification with documentation of the database implemented by the current EF Core entities, configurations, migrations and model snapshot.

Acceptance criteria:
- Rewrite docs/data-model.md with an updated ER diagram and table/column reference covering all ten implemented entities: User, UserContact, UserCredential, UserRole, OtpCode, Address, Building, Apartment, Issue and IssueAttachment.
- Document actual SQL names, types, nullability, defaults, primary/foreign keys, unique constraints, indexes, enum storage and delete behavior.
- Replace docs/schema.sql and any duplicated SQL with migration-generated SQL, documenting how to regenerate it. Identify EF Core migrations as the schema source of truth.
- Document database initialization, migration commands, required seed settings and repeat-startup behavior, aligned with the seeding task.
- Correct stale database claims and links in docs/index.md, docs/operations-and-testing.md, docs/validation.md and README.md; review other docs for affected references.
- Explicitly distinguish implemented behavior from outstanding requirements. The current schema has no association/membership model, although OpenProject stories still require association-scoped authorization. Record this discrepancy and related implementation gaps without silently removing those requirements.
- Validate the documented schema against a freshly migrated PostgreSQL database and build the documentation successfully.

Dependencies: #73; coordinate initialization documentation with the new seeding task and #78."
90,[BE] Verify and harden automatic database initialization and admin seeding,Task,New,Daniel Moisei,Normal,"Complete and verify the migration-and-seeding flow introduced in #73 using the current EF Core model. API startup already calls MigrateAsync followed by DatabaseSeeder.SeedAsync; extend this implementation where needed.

Acceptance criteria:
- Starting the application against a fresh PostgreSQL 18 database applies all EF Core migrations and creates exactly one administrator with linked user_credentials and user_role records.
- The administrator email is normalized, the password is stored using the shared password hasher, and MustChangePassword is true.
- Restarting against the existing database creates no duplicates and does not overwrite an existing password or account data.
- Define and test safe behavior when the configured email already belongs to a non-admin account or an account with incomplete seed records; do not silently promote an existing user.
- Missing or invalid seed configuration produces an actionable error without exposing secrets.
- Add PostgreSQL integration coverage for first initialization, repeated startup, and failure cases; retain the existing unit tests.
- Update README setup instructions with all required SeedAdmin environment variables and fresh/existing database verification commands. Keep real credentials out of tracked files and logs.

Dependencies: #73 and the shared password hasher in #74. Coordinate startup and database permissions with #78."
